year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county
2011,94509,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Antioch,Contra Costa County
2011,94510,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Benicia,Solano County
2011,94512,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Birds Landing,Solano County
2011,94513,1300,1530,2060,2410,25,29.42,39.62,46.35,Brentwood,Contra Costa County
2011,94514,1290,1520,2040,2390,24.81,29.23,39.23,45.96,Byron,Contra Costa County
2011,94517,1300,1530,2060,2410,25,29.42,39.62,46.35,Clayton,Contra Costa County
2011,94518,1390,1640,2210,2580,26.73,31.54,42.5,49.62,Concord,Contra Costa County
2011,94519,1300,1530,2060,2410,25,29.42,39.62,46.35,Concord,Contra Costa County
2011,94520,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Concord,Contra Costa County
2011,94521,1270,1490,2000,2340,24.42,28.65,38.46,45,Concord,Contra Costa County
2011,94523,1400,1650,2220,2600,26.92,31.73,42.69,50,Pleasant Hill,Contra Costa County
2011,94525,1300,1530,2060,2410,25,29.42,39.62,46.35,Crockett,Contra Costa County
2011,94526,1300,1530,2060,2410,25,29.42,39.62,46.35,Danville,Contra Costa County
2011,94530,1350,1590,2140,2500,25.96,30.58,41.15,48.08,El Cerrito,Contra Costa County
2011,94531,1800,2120,2850,3330,34.62,40.77,54.81,64.04,Antioch,Contra Costa County
2011,94533,1020,1170,1640,2020,19.62,22.5,31.54,38.85,Fairfield,Solano County
2011,94535,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Travis Afb,Solano County
2011,94536,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Fremont,Alameda County
2011,94538,1470,1730,2330,2720,28.27,33.27,44.81,52.31,Fremont,Alameda County
2011,94539,1670,1970,2650,3100,32.12,37.88,50.96,59.62,Fremont,Alameda County
2011,94541,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Hayward,Alameda County
2011,94542,1320,1550,2080,2440,25.38,29.81,40,46.92,Hayward,Alameda County
2011,94544,1250,1470,1980,2310,24.04,28.27,38.08,44.42,Hayward,Alameda County
2011,94545,1350,1590,2140,2500,25.96,30.58,41.15,48.08,Hayward,Alameda County
2011,94546,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Castro Valley,Alameda County
2011,94547,1300,1530,2060,2410,25,29.42,39.62,46.35,Hercules,Contra Costa County
2011,94549,1480,1740,2340,2740,28.46,33.46,45,52.69,Lafayette,Contra Costa County
2011,94550,1330,1560,2100,2450,25.58,30,40.38,47.12,Livermore,Alameda County
2011,94552,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Castro Valley,Alameda County
2011,94553,1210,1420,1910,2230,23.27,27.31,36.73,42.88,Martinez,Contra Costa County
2011,94555,1630,1920,2580,3020,31.35,36.92,49.62,58.08,Fremont,Alameda County
2011,94556,1300,1530,2060,2410,25,29.42,39.62,46.35,Moraga,Contra Costa County
2011,94558,1090,1420,1960,2230,20.96,27.31,37.69,42.88,Napa,Napa County
2011,94559,1020,1320,1830,2070,19.62,25.38,35.19,39.81,Napa,Napa County
2011,94560,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Newark,Alameda County
2011,94561,1580,1860,2500,2930,30.38,35.77,48.08,56.35,Oakley,Contra Costa County
2011,94563,1300,1530,2060,2410,25,29.42,39.62,46.35,Orinda,Contra Costa County
2011,94564,1300,1530,2060,2410,25,29.42,39.62,46.35,Pinole,Contra Costa County
2011,94565,1240,1460,1960,2300,23.85,28.08,37.69,44.23,Pittsburg,Contra Costa County
2011,94566,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Pleasanton,Alameda County
2011,94568,1680,1980,2660,3110,32.31,38.08,51.15,59.81,Dublin,Alameda County
2011,94569,1300,1530,2060,2410,25,29.42,39.62,46.35,Port Costa,Contra Costa County
2011,94571,830,1010,1460,1670,15.96,19.42,28.08,32.12,Rio Vista,Solano County
2011,94572,1300,1530,2060,2410,25,29.42,39.62,46.35,Rodeo,Contra Costa County
2011,94577,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Leandro,Alameda County
2011,94578,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Leandro,Alameda County
2011,94579,1470,1730,2330,2720,28.27,33.27,44.81,52.31,San Leandro,Alameda County
2011,94580,1220,1430,1920,2250,23.46,27.5,36.92,43.27,San Lorenzo,Alameda County
2011,94583,1580,1860,2500,2930,30.38,35.77,48.08,56.35,San Ramon,Contra Costa County
2011,94585,1310,1500,2100,2590,25.19,28.85,40.38,49.81,Suisun City,Solano County
2011,94586,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Sunol,Alameda County
2011,94587,1330,1560,2100,2450,25.58,30,40.38,47.12,Union City,Alameda County
2011,94588,1730,2030,2730,3190,33.27,39.04,52.5,61.35,Pleasanton,Alameda County
2011,94589,1090,1410,1950,2220,20.96,27.12,37.5,42.69,Vallejo,Solano County
2011,94590,990,1140,1600,1970,19.04,21.92,30.77,37.88,Vallejo,Solano County
2011,94591,1200,1380,1930,2380,23.08,26.54,37.12,45.77,Vallejo,Solano County
2011,94592,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Vallejo,Solano County
2011,94595,1380,1620,2180,2550,26.54,31.15,41.92,49.04,Walnut Creek,Contra Costa County
2011,94596,1260,1480,1990,2330,24.23,28.46,38.27,44.81,Walnut Creek,Contra Costa County
