,Unnamed: 0,zip,1br,2br,3br,4br,year,county
1216,112,94133,2250,2810,3670,3920,2019,San Francisco County
1217,110,94133,1270,1570,2150,2580,2013,San Francisco County
1218,109,94133,1350,1590,2140,2500,2011,San Francisco County
1219,114,94133,1520,1860,2490,2890,2016,San Francisco County
1220,109,94133,1390,1720,2360,2820,2015,San Francisco County
1221,111,94133,2260,2820,3680,4350,2018,San Francisco County
1222,112,94129,1320,1630,2230,2680,2014,San Francisco County
1223,111,94129,3610,4410,5910,7060,2017,San Francisco County
1224,113,94129,1380,1630,2210,2740,2012,San Francisco County
1225,113,94129,3400,4220,5520,5850,2019,San Francisco County
1226,111,94129,1270,1570,2150,2580,2013,San Francisco County
1227,110,94129,1380,1620,2180,2550,2011,San Francisco County
1228,115,94129,2140,2630,3520,4090,2016,San Francisco County
1229,110,94129,1390,1720,2360,2820,2015,San Francisco County
1230,112,94129,3750,4680,6100,6500,2018,San Francisco County
1231,113,94606,910,1120,1530,1840,2014,Alameda County
1232,112,94606,1390,1700,2280,2720,2017,Alameda County
1233,114,94606,980,1160,1570,1950,2012,Alameda County
1234,114,94606,1670,2100,2900,3560,2019,Alameda County
1235,112,94606,870,1080,1480,1770,2013,Alameda County
1236,111,94606,1190,1400,1880,2200,2011,Alameda County
1237,116,94606,1020,1250,1680,1940,2016,Alameda County
1238,111,94606,960,1180,1620,1940,2015,Alameda County
1239,113,94606,1630,2050,2830,3470,2018,Alameda County
1240,114,94111,1320,1630,2230,2680,2014,San Francisco County
1241,113,94111,3710,4530,6070,7250,2017,San Francisco County
1242,115,94111,1380,1630,2210,2740,2012,San Francisco County
1243,115,94111,3380,4220,5490,5850,2019,San Francisco County
1244,113,94111,1270,1570,2150,2580,2013,San Francisco County
1245,112,94111,1380,1620,2180,2550,2011,San Francisco County
1246,117,94111,2140,2630,3520,4090,2016,San Francisco County
1247,112,94111,1390,1720,2360,2820,2015,San Francisco County
1248,114,94111,3750,4680,6100,6500,2018,San Francisco County
1249,115,94619,1000,1230,1680,2020,2014,Alameda County
1250,114,94619,1710,2090,2800,3340,2017,Alameda County
1251,116,94619,1030,1220,1650,2050,2012,Alameda County
1252,116,94619,1680,2100,2900,3560,2019,Alameda County
1253,114,94619,960,1180,1620,1940,2013,Alameda County
1254,113,94619,1190,1400,1880,2200,2011,Alameda County
1255,118,94619,1170,1440,1930,2240,2016,Alameda County
1256,113,94619,1040,1290,1770,2120,2015,Alameda County
1257,115,94619,1790,2250,3110,3820,2018,Alameda County
1258,116,94121,1340,1660,2270,2730,2014,San Francisco County
1259,115,94121,1970,2400,3220,3840,2017,San Francisco County
1260,117,94121,1410,1670,2260,2800,2012,San Francisco County
1261,117,94121,2280,2840,3700,3950,2019,San Francisco County
1262,115,94121,1290,1590,2180,2610,2013,San Francisco County
1263,114,94121,1420,1670,2250,2630,2011,San Francisco County
1264,119,94121,1510,1850,2480,2870,2016,San Francisco County
1265,114,94121,1410,1740,2380,2860,2015,San Francisco County
1266,116,94121,2530,3150,4110,4380,2018,San Francisco County
1267,117,94102,880,1090,1490,1790,2014,San Francisco County
1268,116,94102,1380,1690,2260,2700,2017,San Francisco County
1269,118,94102,930,1100,1490,1850,2012,San Francisco County
1270,118,94102,2250,2810,3670,3920,2019,San Francisco County
1271,116,94102,850,1050,1440,1720,2013,San Francisco County
1272,115,94102,1190,1400,1880,2200,2011,San Francisco County
1273,120,94102,1030,1260,1690,1960,2016,San Francisco County
1274,115,94102,930,1150,1570,1890,2015,San Francisco County
1275,117,94102,2170,2720,3530,4350,2018,San Francisco County
1276,118,94552,1130,1400,1920,2300,2014,Alameda County
1277,117,94552,2670,3260,4370,5220,2017,Alameda County
1278,119,94552,1820,2160,2930,3630,2012,Alameda County
1279,119,94552,2540,3160,4350,5330,2019,Alameda County
1280,117,94552,1090,1350,1850,2220,2013,Alameda County
1281,116,94552,1220,1430,1920,2250,2011,Alameda County
1282,121,94552,2140,2630,3520,4090,2016,Alameda County
1283,116,94552,1200,1480,2030,2430,2015,Alameda County
1284,118,94552,2780,3490,4830,5920,2018,Alameda County
1285,119,94501,1180,1460,2000,2400,2014,Alameda County
1286,118,94501,1830,2230,2990,3570,2017,Alameda County
1287,120,94501,1250,1480,2010,2480,2012,Alameda County
1288,120,94501,1910,2400,3320,4060,2019,Alameda County
1289,118,94501,1130,1400,1920,2300,2013,Alameda County
1290,117,94501,1250,1470,1980,2310,2011,Alameda County
1291,122,94501,1320,1620,2170,2520,2016,Alameda County
1292,117,94501,1240,1530,2100,2510,2015,Alameda County
1293,119,94501,2120,2660,3680,4510,2018,Alameda County
1294,120,94108,950,1170,1600,1920,2014,San Francisco County
1295,119,94108,1560,1910,2560,3060,2017,San Francisco County
1296,121,94108,1000,1190,1610,2000,2012,San Francisco County
1297,121,94108,2250,2810,3670,3920,2019,San Francisco County
1298,119,94108,910,1120,1530,1840,2013,San Francisco County
1299,118,94108,1190,1400,1880,2200,2011,San Francisco County
1300,123,94108,1160,1420,1900,2210,2016,San Francisco County
1301,118,94108,1000,1230,1680,2020,2015,San Francisco County
1302,120,94108,2170,2720,3530,4350,2018,San Francisco County
1303,121,94605,1050,1300,1780,2140,2014,Alameda County
1304,120,94605,1580,1930,2590,3090,2017,Alameda County
1305,122,94605,1130,1340,1820,2250,2012,Alameda County
1306,122,94605,1670,2100,2900,3560,2019,Alameda County
1307,120,94605,1010,1250,1710,2050,2013,Alameda County
1308,119,94605,1190,1400,1880,2200,2011,Alameda County
1309,124,94605,1140,1400,1880,2180,2016,Alameda County
1310,119,94605,1110,1370,1880,2250,2015,Alameda County
1311,121,94605,1630,2050,2830,3470,2018,Alameda County
1312,122,94613,1130,1400,1920,2300,2014,Alameda County
1313,121,94613,1790,2190,2930,3500,2017,Alameda County
1314,123,94613,1210,1430,1940,2400,2012,Alameda County
1315,123,94613,1670,2100,2900,3560,2019,Alameda County
1316,121,94613,1090,1350,1850,2220,2013,Alameda County
1317,125,94613,1300,1600,2140,2490,2016,Alameda County
1318,120,94613,1200,1480,2030,2430,2015,Alameda County
1319,122,94613,1830,2290,3170,3890,2018,Alameda County
1320,123,94117,1470,1820,2490,2990,2014,San Francisco County
1321,122,94117,2250,2750,3680,4400,2017,San Francisco County
1322,124,94117,1510,1790,2430,3010,2012,San Francisco County
1323,124,94117,2640,3290,4290,4570,2019,San Francisco County
1324,122,94117,1420,1750,2400,2870,2013,San Francisco County
1325,120,94117,1520,1790,2410,2820,2011,San Francisco County
1326,126,94117,1700,2090,2800,3250,2016,San Francisco County
1327,121,94117,1560,1920,2630,3150,2015,San Francisco County
1328,123,94117,2920,3650,4760,5070,2018,San Francisco County
1329,124,94122,1370,1690,2310,2780,2014,San Francisco County
1330,123,94122,2140,2610,3500,4180,2017,San Francisco County
1331,125,94122,1470,1740,2360,2920,2012,San Francisco County
1332,125,94122,2290,2860,3720,3960,2019,San Francisco County
1333,123,94122,1320,1630,2230,2680,2013,San Francisco County
1334,121,94122,1480,1740,2340,2740,2011,San Francisco County
1335,127,94122,1610,1970,2640,3060,2016,San Francisco County
1336,122,94122,1440,1780,2440,2920,2015,San Francisco County
1337,124,94122,2540,3170,4130,4400,2018,San Francisco County
1338,125,94621,1000,1240,1700,2040,2014,Alameda County
1339,124,94621,1540,1880,2520,3010,2017,Alameda County
1340,126,94621,1070,1270,1720,2130,2012,Alameda County
1341,126,94621,1670,2100,2900,3560,2019,Alameda County
1342,124,94621,970,1200,1640,1970,2013,Alameda County
1343,122,94621,1190,1400,1880,2200,2011,Alameda County
1344,128,94621,1130,1380,1850,2140,2016,Alameda County
1345,123,94621,1060,1310,1790,2150,2015,Alameda County
1346,125,94621,1610,2020,2800,3430,2018,Alameda County
1347,126,94114,1530,1890,2590,3100,2014,San Francisco County
1348,125,94114,2330,2840,3800,4540,2017,San Francisco County
1349,127,94114,1610,1910,2590,3210,2012,San Francisco County
1350,127,94114,2630,3250,4260,4510,2019,San Francisco County
1351,125,94114,1470,1820,2490,2990,2013,San Francisco County
1352,123,94114,1620,1910,2570,3000,2011,San Francisco County
1353,129,94114,1770,2170,2910,3370,2016,San Francisco County
1354,124,94114,1610,1990,2730,3270,2015,San Francisco County
1355,126,94114,2890,3610,4700,5010,2018,San Francisco County
1356,127,94107,1830,2260,3090,3710,2014,San Francisco County
1357,126,94107,3710,4530,6070,7250,2017,San Francisco County
1358,128,94107,1920,2280,3090,3830,2012,San Francisco County
1359,128,94107,3370,4210,5490,5850,2019,San Francisco County
1360,126,94107,1760,2170,2970,3560,2013,San Francisco County
1361,124,94107,1940,2280,3070,3590,2011,San Francisco County
1362,130,94107,2140,2630,3520,4090,2016,San Francisco County
1363,125,94107,1930,2380,3260,3910,2015,San Francisco County
1364,127,94107,3740,4670,6090,6490,2018,San Francisco County
1365,128,94110,1240,1530,2100,2510,2014,San Francisco County
1366,127,94110,1950,2380,3190,3810,2017,San Francisco County
1367,129,94110,1340,1590,2160,2670,2012,San Francisco County
1368,129,94110,2250,2810,3670,3920,2019,San Francisco County
1369,127,94110,1190,1470,2010,2410,2013,San Francisco County
1370,125,94110,1340,1580,2130,2490,2011,San Francisco County
1371,131,94110,1470,1800,2410,2800,2016,San Francisco County
1372,126,94110,1300,1610,2200,2640,2015,San Francisco County
1373,128,94110,2210,2760,3600,4350,2018,San Francisco County
1374,129,94588,1570,1940,2660,3190,2014,Alameda County
1376,128,94588,2400,2930,3930,4690,2017,Alameda County
1378,130,94588,1710,2030,2750,3410,2012,Alameda County
1382,130,94588,2320,2890,3980,4880,2019,Alameda County
1384,128,94588,1510,1860,2550,3050,2013,Alameda County
1386,126,94588,1730,2030,2730,3190,2011,Alameda County
1388,132,94588,1740,2130,2850,3310,2016,Alameda County
1392,127,94588,1650,2040,2790,3350,2015,Alameda County
1394,129,94588,2480,3110,4300,5270,2018,Alameda County
1396,130,94131,1410,1740,2380,2860,2014,San Francisco County
1397,129,94131,2280,2780,3720,4450,2017,San Francisco County
1398,132,94131,1490,1770,2400,2970,2012,San Francisco County
1399,131,94131,2610,3240,4230,4510,2019,San Francisco County
1400,129,94131,1350,1670,2290,2740,2013,San Francisco County
1401,127,94131,1500,1770,2380,2780,2011,San Francisco County
1402,134,94131,1690,2070,2770,3220,2016,San Francisco County
1403,128,94131,1480,1830,2510,3010,2015,San Francisco County
1404,130,94131,2890,3600,4700,5010,2018,San Francisco County
1405,131,94603,1060,1310,1790,2150,2014,Alameda County
1406,130,94603,1580,1930,2590,3090,2017,Alameda County
1407,133,94603,1140,1350,1830,2270,2012,Alameda County
1408,132,94603,1670,2100,2900,3560,2019,Alameda County
1409,130,94603,1020,1260,1730,2070,2013,Alameda County
1410,128,94603,1190,1400,1880,2200,2011,Alameda County
1411,135,94603,1140,1400,1880,2180,2016,Alameda County
1412,129,94603,1120,1380,1890,2270,2015,Alameda County
1413,131,94603,1640,2050,2840,3480,2018,Alameda County
1414,132,94116,1460,1800,2460,2960,2014,San Francisco County
1415,131,94116,2150,2620,3510,4190,2017,San Francisco County
1416,134,94116,1590,1880,2550,3160,2012,San Francisco County
1417,133,94116,2250,2810,3670,3920,2019,San Francisco County
1418,131,94116,1400,1730,2370,2840,2013,San Francisco County
1419,129,94116,1590,1870,2520,2940,2011,San Francisco County
1420,136,94116,1700,2080,2790,3230,2016,San Francisco County
1421,130,94116,1540,1900,2600,3120,2015,San Francisco County
1422,132,94116,2480,3090,4030,4350,2018,San Francisco County
1423,133,94124,1070,1320,1810,2170,2014,San Francisco County
1424,132,94124,1470,1800,2410,2880,2017,San Francisco County
1425,135,94124,1110,1320,1790,2220,2012,San Francisco County
1426,134,94124,2250,2810,3670,3920,2019,San Francisco County
1427,132,94124,1030,1270,1740,2090,2013,San Francisco County
1428,130,94124,1190,1400,1880,2200,2011,San Francisco County
1429,137,94124,1130,1390,1860,2160,2016,San Francisco County
1430,131,94124,1130,1390,1900,2280,2015,San Francisco County
1431,133,94124,2170,2720,3530,4350,2018,San Francisco County
1432,134,94127,1320,1630,2230,2680,2014,San Francisco County
1433,133,94127,3290,4020,5390,6430,2017,San Francisco County
1434,136,94127,1900,2250,3050,3780,2012,San Francisco County
1435,135,94127,3380,4220,5490,5850,2019,San Francisco County
1436,133,94127,1270,1570,2150,2580,2013,San Francisco County
1437,131,94127,1380,1620,2180,2550,2011,San Francisco County
1438,138,94127,2140,2630,3520,4090,2016,San Francisco County
1439,132,94127,1390,1720,2360,2820,2015,San Francisco County
1440,134,94127,3750,4680,6100,6500,2018,San Francisco County
1441,135,94577,1040,1280,1750,2100,2014,Alameda County
1442,134,94577,1630,1990,2670,3180,2017,Alameda County
1443,137,94577,1110,1320,1790,2220,2012,Alameda County
1444,136,94577,1710,2130,2940,3600,2019,Alameda County
1445,134,94577,1000,1230,1680,2020,2013,Alameda County
1446,132,94577,1190,1400,1880,2200,2011,Alameda County
1447,139,94577,1170,1440,1930,2240,2016,Alameda County
1448,133,94577,1090,1350,1850,2220,2015,Alameda County
1449,135,94577,1880,2360,3260,3990,2018,Alameda County
1450,136,94132,1520,1880,2570,3090,2014,San Francisco County
1451,135,94132,2320,2830,3790,4530,2017,San Francisco County
1452,138,94132,1600,1890,2560,3170,2012,San Francisco County
1453,137,94132,2640,3300,4300,4580,2019,San Francisco County
1454,135,94132,1460,1800,2460,2960,2013,San Francisco County
1455,133,94132,1600,1880,2530,2960,2011,San Francisco County
1456,140,94132,1750,2150,2880,3340,2016,San Francisco County
1457,134,94132,1600,1980,2710,3250,2015,San Francisco County
1458,136,94132,2930,3660,4770,5080,2018,San Francisco County
1459,137,94112,1250,1540,2110,2530,2014,San Francisco County
1460,136,94112,1840,2250,3010,3600,2017,San Francisco County
1461,139,94112,1360,1610,2180,2700,2012,San Francisco County
1462,138,94112,2250,2810,3670,3920,2019,San Francisco County
1463,136,94112,1200,1480,2030,2430,2013,San Francisco County
1464,134,94112,1360,1600,2150,2520,2011,San Francisco County
1465,141,94112,1380,1690,2260,2630,2016,San Francisco County
1466,135,94112,1310,1620,2220,2660,2015,San Francisco County
1467,137,94112,2170,2720,3530,4350,2018,San Francisco County
1468,138,94134,1210,1490,2040,2450,2014,San Francisco County
1469,137,94134,1700,2080,2790,3330,2017,San Francisco County
1470,140,94134,1340,1590,2160,2670,2012,San Francisco County
1472,139,94134,2250,2810,3670,3920,2019,San Francisco County
1473,137,94134,1160,1430,1960,2350,2013,San Francisco County
1474,135,94134,1350,1590,2140,2500,2011,San Francisco County
1475,142,94134,1280,1570,2100,2440,2016,San Francisco County
1476,136,94134,1270,1570,2150,2580,2015,San Francisco County
1477,138,94134,2170,2720,3530,4350,2018,San Francisco County
1478,139,94568,1600,1980,2710,3250,2014,Alameda County
1479,138,94568,2470,3020,4050,4830,2017,Alameda County
1480,142,94568,1670,1980,2680,3320,2012,Alameda County
1482,140,94568,2500,3120,4290,5260,2019,Alameda County
1483,138,94568,1540,1900,2600,3120,2013,Alameda County
1484,136,94568,1680,1980,2660,3110,2011,Alameda County
1485,143,94568,1790,2190,2940,3400,2016,Alameda County
1486,137,94568,1690,2090,2860,3430,2015,Alameda County
1487,139,94568,2660,3340,4610,5660,2018,Alameda County
1488,140,94578,1030,1270,1740,2090,2014,Alameda County
1489,139,94578,1590,1940,2600,3100,2017,Alameda County
1490,144,94578,1100,1300,1760,2180,2012,Alameda County
1491,141,94578,1670,2100,2900,3560,2019,Alameda County
1492,139,94578,990,1220,1670,2000,2013,Alameda County
1493,137,94578,1190,1400,1880,2200,2011,Alameda County
1494,144,94578,1160,1420,1900,2210,2016,Alameda County
1495,138,94578,1090,1340,1830,2200,2015,Alameda County
1496,140,94578,1780,2240,3090,3790,2018,Alameda County
1497,141,94015,1340,1660,2270,2730,2014,San Mateo County
1498,140,94015,2070,2530,3390,4050,2017,San Mateo County
1499,145,94015,1450,1720,2330,2890,2012,San Mateo County
1500,142,94015,2400,2970,3890,4130,2019,San Mateo County
1501,140,94015,1290,1590,2180,2610,2013,San Mateo County
1502,138,94015,1460,1720,2310,2710,2011,San Mateo County
1503,145,94015,1560,1910,2560,2970,2016,San Mateo County
1504,139,94015,1410,1740,2380,2860,2015,San Mateo County
1505,141,94015,2640,3300,4300,4580,2018,San Mateo County
1506,142,94005,1250,1540,2110,2530,2014,San Mateo County
1507,141,94005,1800,2200,2950,3520,2017,San Mateo County
1508,146,94005,1380,1630,2210,2740,2012,San Mateo County
1509,143,94005,2250,2810,3670,3920,2019,San Mateo County
1510,141,94005,1200,1480,2030,2430,2013,San Mateo County
1511,139,94005,1390,1630,2190,2560,2011,San Mateo County
1512,146,94005,1370,1680,2250,2610,2016,San Mateo County
1513,140,94005,1310,1620,2220,2660,2015,San Mateo County
1514,142,94005,2240,2800,3650,4350,2018,San Mateo County
1515,143,94014,1250,1540,2110,2530,2014,San Mateo County
1516,142,94014,1880,2290,3070,3660,2017,San Mateo County
1517,147,94014,1250,1480,2010,2480,2012,San Mateo County
1519,144,94014,2250,2810,3670,3920,2019,San Mateo County
1520,142,94014,1200,1480,2030,2430,2013,San Mateo County
1521,140,94014,1260,1480,1990,2330,2011,San Mateo County
1522,147,94014,1430,1750,2350,2720,2016,San Mateo County
1523,141,94014,1310,1620,2220,2660,2015,San Mateo County
1524,143,94014,2380,2970,3870,4350,2018,San Mateo County
1525,144,94579,1340,1650,2260,2710,2014,Alameda County
1526,143,94579,2020,2470,3310,3950,2017,Alameda County
1527,149,94579,1460,1730,2350,2900,2012,Alameda County
1528,145,94579,1850,2320,3200,3930,2019,Alameda County
1529,143,94579,1290,1590,2180,2610,2013,Alameda County
1530,141,94579,1470,1730,2330,2720,2011,Alameda County
1531,148,94579,1460,1790,2400,2780,2016,Alameda County
1532,142,94579,1410,1740,2380,2860,2015,Alameda County
1533,144,94579,2050,2570,3550,4360,2018,Alameda County
1534,145,94580,1160,1430,1960,2350,2014,Alameda County
1535,144,94580,1970,2410,3230,3860,2017,Alameda County
1536,150,94580,1330,1570,2130,2640,2012,Alameda County
1537,146,94580,1780,2240,3080,3780,2019,Alameda County
1538,144,94580,1120,1380,1890,2270,2013,Alameda County
1539,142,94580,1220,1430,1920,2250,2011,Alameda County
1540,149,94580,1440,1770,2370,2750,2016,Alameda County
1541,143,94580,1220,1510,2070,2480,2015,Alameda County
1542,145,94580,1970,2480,3420,4200,2018,Alameda County
1543,146,94541,1090,1340,1830,2200,2014,Alameda County
1544,145,94541,1650,2010,2690,3220,2017,Alameda County
1545,151,94541,1160,1370,1860,2300,2012,Alameda County
1546,147,94541,1680,2100,2900,3560,2019,Alameda County
1547,145,94541,1040,1290,1770,2120,2013,Alameda County
1548,143,94541,1190,1400,1880,2200,2011,Alameda County
1549,150,94541,1200,1470,1970,2280,2016,Alameda County
1550,144,94541,1140,1410,1930,2320,2015,Alameda County
1551,146,94541,1850,2320,3210,3940,2018,Alameda County
1552,147,94566,1390,1710,2340,2810,2014,Alameda County
1553,146,94566,2200,2690,3600,4300,2017,Alameda County
1554,152,94566,1410,1670,2260,2800,2012,Alameda County
1555,148,94566,2210,2750,3780,4640,2019,Alameda County
1556,146,94566,1330,1640,2250,2690,2013,Alameda County
1557,144,94566,1420,1670,2250,2630,2011,Alameda County
1558,151,94566,1570,1930,2590,3000,2016,Alameda County
1559,145,94566,1460,1800,2460,2960,2015,Alameda County
1560,147,94566,2400,3020,4170,5110,2018,Alameda County
1561,148,94542,1290,1590,2180,2610,2014,Alameda County
1562,147,94542,1970,2410,3230,3860,2017,Alameda County
1563,153,94542,1310,1550,2100,2600,2012,Alameda County
1564,149,94542,1850,2310,3180,3900,2019,Alameda County
1565,147,94542,1230,1520,2080,2500,2013,Alameda County
1566,145,94542,1320,1550,2080,2440,2011,Alameda County
1567,152,94542,1450,1780,2390,2770,2016,Alameda County
1568,146,94542,1350,1670,2290,2740,2015,Alameda County
1569,148,94542,2020,2540,3510,4300,2018,Alameda County
1570,149,94544,1140,1410,1930,2320,2014,Alameda County
1571,148,94544,1740,2130,2850,3410,2017,Alameda County
1572,154,94544,1250,1480,2010,2480,2012,Alameda County
1573,150,94544,1670,2100,2900,3560,2019,Alameda County
1574,148,94544,1100,1360,1860,2230,2013,Alameda County
1575,146,94544,1250,1470,1980,2310,2011,Alameda County
1576,153,94544,1260,1550,2080,2410,2016,Alameda County
1577,147,94544,1210,1490,2040,2450,2015,Alameda County
1578,149,94544,1850,2320,3200,3930,2018,Alameda County
1579,150,94044,1480,1830,2510,3010,2014,San Mateo County
1580,149,94044,2250,2750,3680,4400,2017,San Mateo County
1581,155,94044,1550,1840,2500,3090,2012,San Mateo County
1582,151,94044,2420,3020,3940,4190,2019,San Mateo County
1583,149,94044,1420,1750,2400,2870,2013,San Mateo County
1584,147,94044,1560,1840,2470,2890,2011,San Mateo County
1585,154,94044,1700,2080,2790,3230,2016,San Mateo County
1586,148,94044,1560,1920,2630,3150,2015,San Mateo County
1587,150,94044,2680,3350,4370,4650,2018,San Mateo County
1588,151,94545,1300,1600,2190,2630,2014,Alameda County
1589,150,94545,1970,2400,3220,3840,2017,Alameda County
1590,156,94545,1350,1600,2170,2690,2012,Alameda County
1591,152,94545,1860,2320,3190,3910,2019,Alameda County
1592,150,94545,1250,1540,2110,2530,2013,Alameda County
1593,148,94545,1350,1590,2140,2500,2011,Alameda County
1594,155,94545,1430,1750,2350,2720,2016,Alameda County
1595,149,94545,1370,1690,2310,2780,2015,Alameda County
1596,151,94545,2000,2510,3470,4250,2018,Alameda County
1597,152,94586,1510,1870,2560,3070,2014,Alameda County
1598,151,94586,2110,2580,3460,4130,2017,Alameda County
1599,157,94586,1490,1770,2400,2970,2012,Alameda County
1600,153,94586,1810,2270,3150,3860,2019,Alameda County
1601,151,94586,1460,1800,2460,2960,2013,Alameda County
1602,149,94586,1220,1430,1920,2250,2011,Alameda County
1603,156,94586,1610,1980,2650,3080,2016,Alameda County
1604,150,94586,1600,1970,2700,3240,2015,Alameda County
1605,152,94586,2010,2520,3490,4280,2018,Alameda County
1606,153,94080,1360,1680,2300,2760,2014,San Mateo County
1607,152,94080,1950,2380,3190,3810,2017,San Mateo County
1608,158,94080,1400,1660,2250,2790,2012,San Mateo County
1609,154,94080,2250,2810,3670,3920,2019,San Mateo County
1610,152,94080,1300,1610,2200,2640,2013,San Mateo County
1611,150,94080,1410,1660,2230,2610,2011,San Mateo County
1612,157,94080,1490,1830,2450,2840,2016,San Mateo County
1613,151,94080,1430,1770,2420,2910,2015,San Mateo County
1614,153,94080,2250,2810,3670,4350,2018,San Mateo County
1615,154,94587,1260,1550,2120,2550,2014,Alameda County
1616,153,94587,1980,2420,3240,3870,2017,Alameda County
1617,159,94587,1320,1560,2120,2620,2012,Alameda County
1618,155,94587,1870,2330,3210,3930,2019,Alameda County
1619,153,94587,1210,1490,2040,2450,2013,Alameda County
1620,151,94587,1330,1560,2100,2450,2011,Alameda County
1621,158,94587,1410,1730,2320,2690,2016,Alameda County
1622,152,94587,1330,1640,2250,2690,2015,Alameda County
1623,154,94587,2040,2570,3550,4350,2018,Alameda County
1624,155,94066,1350,1670,2290,2740,2014,San Mateo County
1625,154,94066,2100,2560,3430,4100,2017,San Mateo County
1626,160,94066,1470,1740,2360,2920,2012,San Mateo County
1627,156,94066,2290,2860,3730,3970,2019,San Mateo County
1628,154,94066,1300,1600,2190,2630,2013,San Mateo County
1629,152,94066,1480,1740,2340,2740,2011,San Mateo County
1630,159,94066,1590,1950,2610,3030,2016,San Mateo County
1631,153,94066,1430,1760,2410,2890,2015,San Mateo County
1632,155,94066,2540,3170,4140,4410,2018,San Mateo County
1633,156,94128,1360,1680,2300,2760,2014,San Mateo County
1634,155,94128,2080,2540,3400,4060,2017,San Mateo County
1635,161,94128,1440,1710,2320,2870,2012,San Mateo County
1636,157,94128,2310,2860,3750,3960,2019,San Mateo County
1637,155,94128,1300,1610,2200,2640,2013,San Mateo County
1638,160,94128,1590,1950,2610,3030,2016,San Mateo County
1639,154,94128,1430,1770,2420,2910,2015,San Mateo County
1640,156,94128,2520,3150,4100,4370,2018,San Mateo County
1641,157,94401,1330,1640,2250,2690,2014,San Mateo County
1642,156,94401,1980,2420,3240,3870,2017,San Mateo County
1643,162,94401,1380,1640,2220,2750,2012,San Mateo County
1644,158,94401,2370,2960,3850,4100,2019,San Mateo County
1645,156,94401,1280,1580,2160,2590,2013,San Mateo County
1646,153,94401,1390,1640,2210,2580,2011,San Mateo County
1647,161,94401,1500,1840,2470,2860,2016,San Mateo County
1648,155,94401,1400,1730,2370,2840,2015,San Mateo County
1649,157,94401,2630,3280,4270,4550,2018,San Mateo County
1650,158,94019,1390,1710,2340,2810,2014,San Mateo County
1651,157,94019,2100,2570,3440,4110,2017,San Mateo County
1652,163,94019,1490,1770,2400,2970,2012,San Mateo County
1653,159,94019,2420,2990,3920,4140,2019,San Mateo County
1654,157,94019,1330,1640,2250,2690,2013,San Mateo County
1655,154,94019,1450,1710,2300,2690,2011,San Mateo County
1656,162,94019,1520,1870,2510,2910,2016,San Mateo County
1657,156,94019,1460,1800,2460,2960,2015,San Mateo County
1658,158,94019,2620,3270,4260,4540,2018,San Mateo County
1659,159,94030,1340,1660,2270,2730,2014,San Mateo County
1660,158,94030,2190,2670,3580,4270,2017,San Mateo County
1661,164,94030,1430,1700,2310,2850,2012,San Mateo County
1662,160,94030,2410,2980,3900,4140,2019,San Mateo County
1663,158,94030,1300,1600,2190,2630,2013,San Mateo County
1664,155,94030,1450,1700,2290,2670,2011,San Mateo County
1665,163,94030,1630,2000,2680,3110,2016,San Mateo County
1666,157,94030,1420,1750,2400,2870,2015,San Mateo County
1667,159,94030,2650,3300,4310,4590,2018,San Mateo County
1668,160,94555,1480,1830,2510,3010,2014,Alameda County
1669,159,94555,2340,2860,3830,4580,2017,Alameda County
1670,165,94555,1620,1920,2600,3220,2012,Alameda County
1671,161,94555,2320,2890,3980,4880,2019,Alameda County
1672,159,94555,1430,1760,2410,2890,2013,Alameda County
1673,156,94555,1630,1920,2580,3020,2011,Alameda County
1674,164,94555,1660,2040,2730,3170,2016,Alameda County
1675,158,94555,1560,1930,2640,3170,2015,Alameda County
1676,160,94555,2460,3090,4270,5230,2018,Alameda County
1677,161,94038,1360,1680,2300,2760,2014,San Mateo County
1678,160,94038,3630,4430,5930,7090,2017,San Mateo County
1679,166,94038,1490,1760,2390,2960,2012,San Mateo County
1680,162,94038,3310,4130,5380,5730,2019,San Mateo County
1681,160,94038,1300,1610,2200,2640,2013,San Mateo County
1682,157,94038,1450,1710,2300,2690,2011,San Mateo County
1683,165,94038,2140,2630,3520,4090,2016,San Mateo County
1684,159,94038,1430,1770,2420,2910,2015,San Mateo County
1685,161,94038,3670,4580,5970,6360,2018,San Mateo County
1686,162,94010,1260,1550,2120,2550,2014,San Mateo County
1687,161,94010,1970,2410,3230,3860,2017,San Mateo County
1688,167,94010,1280,1520,2060,2550,2012,San Mateo County
1689,163,94010,2670,3300,4320,4570,2019,San Mateo County
1690,161,94010,1210,1490,2040,2450,2013,San Mateo County
1691,158,94010,1290,1520,2040,2390,2011,San Mateo County
1692,166,94010,1480,1810,2430,2810,2016,San Mateo County
1693,160,94010,1330,1640,2250,2690,2015,San Mateo County
1694,162,94010,2870,3580,4670,4980,2018,San Mateo County
1695,163,94536,1300,1610,2200,2640,2014,Alameda County
1696,162,94536,1990,2430,3260,3890,2017,Alameda County
1697,168,94536,1410,1670,2260,2800,2012,Alameda County
1698,164,94536,2030,2530,3480,4270,2019,Alameda County
1699,162,94536,1260,1550,2120,2550,2013,Alameda County
1700,159,94536,1420,1670,2250,2630,2011,Alameda County
1701,167,94536,1430,1760,2360,2730,2016,Alameda County
1702,161,94536,1370,1690,2310,2780,2015,Alameda County
1703,163,94536,2190,2750,3810,4660,2018,Alameda County
1704,164,94539,1600,1980,2710,3250,2014,Alameda County
