,year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county_x,county_y,vlrhna,totalvl,percentvl,lowrhna,lowtotal,lowpercent,modrhna,modtotal,modpercent,aboverhna,abovetotal,abovepercent,totalrhna,totaltotal,totalpercent
28,2011,94103,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
29,2011,94104,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
30,2011,94105,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
31,2011,94107,1940,2280,3070,3590,37.31,43.85,59.04,69.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
32,2011,94108,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
33,2011,94109,1210,1420,1910,2230,23.27,27.31,36.73,42.88,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
34,2011,94110,1340,1580,2130,2490,25.77,30.38,40.96,47.88,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
35,2011,94111,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
36,2011,94112,1360,1600,2150,2520,26.15,30.77,41.35,48.46,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
37,2011,94114,1620,1910,2570,3000,31.15,36.73,49.42,57.69,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
38,2011,94115,1460,1720,2310,2710,28.08,33.08,44.42,52.12,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
39,2011,94116,1590,1870,2520,2940,30.58,35.96,48.46,56.54,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
40,2011,94117,1520,1790,2410,2820,29.23,34.42,46.35,54.23,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
41,2011,94118,1420,1670,2250,2630,27.31,32.12,43.27,50.58,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
42,2011,94121,1420,1670,2250,2630,27.31,32.12,43.27,50.58,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
43,2011,94122,1480,1740,2340,2740,28.46,33.46,45.0,52.69,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
44,2011,94123,1770,2080,2800,3270,34.04,40.0,53.85,62.88,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
45,2011,94124,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
46,2011,94127,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
47,2011,94129,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
48,2011,94130,1380,1620,2180,2550,26.54,31.15,41.92,49.04,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
49,2011,94131,1500,1770,2380,2780,28.85,34.04,45.77,53.46,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
50,2011,94132,1600,1880,2530,2960,30.77,36.15,48.65,56.92,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
51,2011,94133,1350,1590,2140,2500,25.96,30.58,41.15,48.08,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
52,2011,94134,1350,1590,2140,2500,25.96,30.58,41.15,48.08,San Francisco,San Francisco County,,,,,,,,,,,,,,,,
53,2011,94301,1800,2160,3100,3410,34.62,41.54,59.62,65.58,Palo Alto,Santa Clara County,Santa Clara,691.0,20.0,3%,432.0,58.0,13%,278.0,38.0,14%,587.0,229.0,39%,1988.0,345.0,17%
54,2011,94303,1210,1420,1910,2230,23.27,27.31,36.73,42.88,Palo Alto,San Mateo County,Santa Clara,691.0,20.0,3%,432.0,58.0,13%,278.0,38.0,14%,587.0,229.0,39%,1988.0,345.0,17%
55,2011,94304,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Palo Alto,Santa Clara County,Santa Clara,691.0,20.0,3%,432.0,58.0,13%,278.0,38.0,14%,587.0,229.0,39%,1988.0,345.0,17%
56,2011,94305,1280,1540,2210,2430,24.62,29.62,42.5,46.73,Stanford,Santa Clara County,,,,,,,,,,,,,,,,
57,2011,94306,1560,1880,2700,2970,30.0,36.15,51.92,57.12,Palo Alto,Santa Clara County,Santa Clara,691.0,20.0,3%,432.0,58.0,13%,278.0,38.0,14%,587.0,229.0,39%,1988.0,345.0,17%
58,2011,94401,1390,1640,2210,2580,26.73,31.54,42.5,49.62,San Mateo,San Mateo County,San Mateo,859.0,37.0,4%,469.0,23.0,5%,530.0,27.0,5%,1242.0,941.0,76%,3100.0,1028.0,33%
59,2011,94402,1500,1770,2380,2780,28.85,34.04,45.77,53.46,San Mateo,San Mateo County,San Mateo,859.0,37.0,4%,469.0,23.0,5%,530.0,27.0,5%,1242.0,941.0,76%,3100.0,1028.0,33%
60,2011,94403,1580,1860,2500,2930,30.38,35.77,48.08,56.35,San Mateo,San Mateo County,San Mateo,859.0,37.0,4%,469.0,23.0,5%,530.0,27.0,5%,1242.0,941.0,76%,3100.0,1028.0,33%
61,2011,94404,1860,2190,2950,3440,35.77,42.12,56.73,66.15,San Mateo,San Mateo County,San Mateo,859.0,37.0,4%,469.0,23.0,5%,530.0,27.0,5%,1242.0,941.0,76%,3100.0,1028.0,33%
62,2011,94501,1250,1470,1980,2310,24.04,28.27,38.08,44.42,Alameda,Alameda County,Alameda,444.0,51.0,11%,248.0,33.0,13%,283.0,21.0,7%,748.0,194.0,26%,1723.0,299.0,17%
63,2011,94502,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Alameda,Alameda County,Alameda,444.0,51.0,11%,248.0,33.0,13%,283.0,21.0,7%,748.0,194.0,26%,1723.0,299.0,17%
64,2011,94503,1090,1410,1950,2220,20.96,27.12,37.5,42.69,American Canyon,Napa County,,,,,,,,,,,,,,,,
65,2011,94506,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Danville,Contra Costa County,,,,,,,,,,,,,,,,
66,2011,94507,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Alamo,Contra Costa County,,,,,,,,,,,,,,,,
67,2011,94509,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Antioch,Contra Costa County,,,,,,,,,,,,,,,,
68,2011,94510,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Benicia,Solano County,,,,,,,,,,,,,,,,
69,2011,94512,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Birds Landing,Solano County,,,,,,,,,,,,,,,,
70,2011,94513,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Brentwood,Contra Costa County,,,,,,,,,,,,,,,,
71,2011,94514,1290,1520,2040,2390,24.81,29.23,39.23,45.96,Byron,Contra Costa County,,,,,,,,,,,,,,,,
72,2011,94517,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Clayton,Contra Costa County,,,,,,,,,,,,,,,,
73,2011,94518,1390,1640,2210,2580,26.73,31.54,42.5,49.62,Concord,Contra Costa County,,,,,,,,,,,,,,,,
