zip-code,city,county_x,2018-county-housing-wage,jurisdiction,county_y,rhna-vl,total-vl,percent-vl,rhna-low,total-low,percent-low,rhna-mod,total-mod,percent-mod,rhna-above,total-above,percent-above,rhna-total,total-total,percent-total
95050,Santa Clara,Santa Clara,$48.50,Santa Clara,Santa Clara,"1,050",0,0%,695,0,0%,755,4,1%,"1,593","2,175",137%,"4,093","2,179",53%
95051,Santa Clara,Santa Clara,$48.50,Santa Clara,Santa Clara,"1,050",0,0%,695,0,0%,755,4,1%,"1,593","2,175",137%,"4,093","2,179",53%
95054,Santa Clara,Santa Clara,$48.50,Santa Clara,Santa Clara,"1,050",0,0%,695,0,0%,755,4,1%,"1,593","2,175",137%,"4,093","2,179",53%
95070,Saratoga,Santa Clara,$48.50,Saratoga,Santa Clara,147,0,0%,95,32,34%,104,5,5%,93,18,19%,439,55,13%
95110,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95111,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95112,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95113,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95116,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95117,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95118,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95119,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95120,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95121,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95122,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95123,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95124,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95125,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95126,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95127,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95128,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95129,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95130,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95131,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95132,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95133,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95134,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95135,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95136,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95138,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95139,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95140,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95148,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
